id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dan2,24,F,43,148,564,1,27,d,1
2,dan2,24,F,43,214,916,1,30,d,1
3,dan2,24,F,43,299,730,1,33,d,0
4,dan2,24,F,43,605,773,1,30,d,1
5,dan2,24,F,43,204,766,1,33,d,0
6,dan2,24,F,43,386,836,1,30,d,1
7,dan2,24,F,43,602,812,1,33,d,0
8,dan2,24,F,43,244,695,1,31,d,1
9,dan2,24,F,43,244,930,1,33,d,1
10,dan2,24,F,43,292,650,1,35,d,1
11,dan2,24,F,43,459,863,1,37,d,0
12,dan2,24,F,43,278,936,1,35,d,1
13,dan2,24,F,43,219,721,1,37,d,0
14,dan2,24,F,43,271,925,1,35,d,1
15,dan2,24,F,43,308,691,1,36,d,0
16,dan2,24,F,43,325,922,1,35,d,1
17,dan2,24,F,43,175,735,1,36,d,0
18,dan2,24,F,43,332,936,1,35,d,1
19,dan2,24,F,43,359,645,1,36,d,0
20,dan2,24,F,43,500,692,3,94,a,0
21,dan2,24,F,43,291,695,3,113,a,1
22,dan2,24,F,43,561,724,3,94,a,1
23,dan2,24,F,43,171,825,3,75,a,0
24,dan2,24,F,43,581,679,3,94,a,1
25,dan2,24,F,43,290,684,3,75,a,0
26,dan2,24,F,43,447,888,3,94,a,1
27,dan2,24,F,43,177,776,3,82,a,0
28,dan2,24,F,43,213,907,3,94,a,1
29,dan2,24,F,43,365,773,3,82,a,1
30,dan2,24,F,43,258,919,3,70,a,0
31,dan2,24,F,43,531,814,3,82,a,0
32,dan2,24,F,43,443,907,3,94,a,1
33,dan2,24,F,43,424,710,3,82,a,1
34,dan2,24,F,43,512,888,3,70,a,0
35,dan2,24,F,43,302,722,3,76,a,1
36,dan2,24,F,43,473,873,3,70,a,0
37,dan2,24,F,43,338,706,3,76,a,1
38,dan2,24,F,43,523,898,3,70,a,1
39,dan2,24,F,43,370,737,3,64,a,0
40,dan2,24,F,43,409,919,3,70,a,1
41,dan2,24,F,43,611,667,2,41,a,0
42,dan2,24,F,43,559,881,2,52,a,1
43,dan2,24,F,43,574,647,2,41,a,0
44,dan2,24,F,43,463,840,2,52,a,1
45,dan2,24,F,43,405,647,2,41,a,0
46,dan2,24,F,43,453,918,2,52,a,0
47,dan2,24,F,43,188,807,2,63,a,1
48,dan2,24,F,43,557,673,2,56,a,1
49,dan2,24,F,43,399,819,2,49,a,0
50,dan2,24,F,43,419,926,2,56,a,1
51,dan2,24,F,43,515,657,2,49,a,0
52,dan2,24,F,43,283,758,2,56,a,1
53,dan2,24,F,43,571,711,2,49,a,0
54,dan2,24,F,43,266,923,2,52,a,0
55,dan2,24,F,43,383,675,2,55,a,0
56,dan2,24,F,43,292,859,2,58,a,0
57,dan2,24,F,43,245,663,2,61,a,1
58,dan2,24,F,43,557,847,2,58,a,0
59,dan2,24,F,43,584,656,2,61,a,1
60,dan2,24,F,43,457,884,2,58,a,0
61,dan2,24,F,43,190,908,2,61,a,0
62,dan2,24,F,43,534,735,2,64,a,1
